source,hash,etag,last_modified,last_checked,failed_attempts,domains,file_size,filename,last_updated,serial_counter
https://raw.githubusercontent.com/hagezi/dns-blocklists/heads/main/rpz/pro.mini.txt,ead823da955f39e5487d932686fe160e34f66fcf9dbbb15e624b06a973ab3f5c,"""b7380e82ee092bdb607b39a68d872c39db438eb4927c1aa33205adc48141053b""",2025-07-15T09:04:58Z,2025-07-15T09:04:58Z,0,181250,4834.1142578125,misc_hagezi_pro_mini.rpz,2025-07-15T09:05:00Z,56
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/anti.piracy.txt,fe665b7d1b1878cf7601678bd20b026c2ec169180d21238760ffff3ac22e7158,"""60ece621ede708373eeb3d4de975fb8c49c53b149696cfd7e1ddb00784f95a96""",2026-08-01T09:03:35Z,2026-08-01T09:03:34Z,0,76462,2012.283203125,ads_hagezi_anti.piracy.rpz,2026-08-01T09:03:35Z,817
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/blocklist-referral-native.txt,38595f325fe13956d9cbf7e297bd5db3db5cae3bf263e299121d09751b201185,"""0fc013a4bf1db3d42ff961c818ba547c466c1b1e387abd7e0f36786a8b81d613""",2026-08-01T09:03:35Z,2026-08-01T09:03:35Z,0,3158,86.7431640625,ads_hagezi_blocklist_referral_native.rpz,2026-08-01T09:03:35Z,379
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/doh-vpn-proxy-bypass.txt,11972b272ccb96fc13b5dcfd1b2468d3dcd48e221484ba447ac6b8217723322a,"""4406e314281ea1ec0d1bb1d2f00b097e8cd77faec9ceafebdc7c423a2efac5a9""",2026-08-01T09:03:36Z,2026-08-01T09:03:36Z,0,35076,936,ads_hagezi_doh_vpn_proxy_bypass.rpz,2026-08-01T09:03:36Z,848
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/doh.txt,10e9b64b188e2b2c16bf9bcb36fd62cfc5cdbc2fd53504a0a698fe75be0a4728,"""089362f155ad5179080c0dee510736806d8b79a7eae4cb634944b56e30ca79c8""",2026-08-01T09:03:36Z,2026-08-01T09:03:35Z,0,6840,180.0029296875,ads_hagezi_adblock_doh.rpz,2026-08-01T09:03:36Z,621
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/native.samsung.txt,35bf5e409a5208c5643d23133c4ca4f05e77ea83d07547578f7bd104213b2f17,"""28eaedf8c1fccd65b9c782b4bea29c0b3b10b7abe064908001fb7c040c0112c7""",2026-07-28T20:14:10Z,2026-07-28T20:14:10Z,0,402,15.87890625,ads_hagezi_native.samsung.rpz,2026-07-28T20:14:10Z,56
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/native.tiktok.extended.txt,03a58036aee6de2c9513a7428072c48dc763231488da85d4840906679260603e,"""a207ba68e41f029424b12322f325d357ed97b1e94b045410b2e76c5079042220""",2026-08-01T09:04:35Z,2026-08-01T09:04:34Z,0,1164,45.494140625,social_hagezi_native.tiktok.extended.rpz,2026-08-01T09:04:35Z,53
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/native.tiktok.txt,c3652b0e8efa891475172f9a47b3bd10bf6bd8dd17276435127c5bd8e6157fff,"""feb1c7cd0086d91aef08123454e554c9714b1040fea8838afba99884bf46158e""",2026-08-01T09:04:35Z,2026-08-01T09:04:35Z,0,852,32.7119140625,social_hagezi_native.tiktok.rpz,2026-08-01T09:04:35Z,43
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/popupads.txt,27b3c6695c99f9ae3036620a9f498b705df259be2b5fc22cc8559c1a54d0adc0,"""b6f52ccbc0d65dddacb9e222880af559120b792fc528bd556a9d6a76804342e1""",2026-08-01T09:03:37Z,2026-08-01T09:03:36Z,0,108278,2791.734375,ads_hagezi_popupads.rpz,2026-08-01T09:03:37Z,1086
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/pro.mini.txt,0ab73ec12e7391af780f70d1d18fa4dd6979177c512f101afaf3ee0b8f4f8343,"""2de3e16935fbf1ad5198f1b2cc67f3839a1ec4a37bd6d06e4295c250e89f9172""",2026-08-01T09:03:38Z,2026-08-01T09:03:37Z,0,114128,3128.90234375,ads_hagezi_pro.mini.rpz,2026-08-01T09:03:38Z,1126
